[24-Jul-2019 19:12:54 Europe/Berlin] PHP Notice:  Undefined index: vehicles in /volume2/web/FS19_Webstats/include/loadConfig.php on line 67
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  array_merge(): Argument #1 is not an array in /volume2/web/FS19_Webstats/include/loadConfig.php on line 70
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  array_merge(): Argument #1 is not an array in /volume2/web/FS19_Webstats/include/loadConfig.php on line 78
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:12:55 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Vehicles.class.php on line 58
[24-Jul-2019 19:13:27 Europe/Berlin] PHP Warning:  simplexml_load_file(): ./config/_gameOwn/vehicles.xml:521: parser error : AttValue: " or ' expected in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:13:27 Europe/Berlin] PHP Warning:  simplexml_load_file(): sename="stollFrontLoaderFZ.xml" type="attachableFrontloader" name="FZ 30" brand= in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:13:27 Europe/Berlin] PHP Warning:  simplexml_load_file():                                                                                ^ in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:13:27 Europe/Berlin] PHP Warning:  simplexml_load_file(): ./config/_gameOwn/vehicles.xml:521: parser error : attributes construct error in /volume2/web/FS19_Webstats/include/functions.php on line 79
